datetime,storage (acre-feet),release volume (acre-feet),pool elevation (feet),total release (cfs),Powell total release (cfs),Powell release volume (acre-feet),T_max (degrees f),T_min(degrees f),precipitation (inches),snow (inches),snow depth (inches)
1979-05-26,22553000,26181.8182,1197.47998,13200,12700,25190.0826,99,68,0,0,0
1979-05-27,22582000,12178.5124,1197.68005,6140,9060,17970.2479,98,70,0,0,0
1979-05-28,22592000,15709.0909,1197.75,7920,7470,14816.5289,96,72,0,0,0
1979-05-29,22580000,36495.8678,1197.67004,18400,10100,20033.0579,93,67,0,0,0
1979-05-30,22572000,28165.2893,1197.60999,14200,11100,22016.5289,92,65,0,0,0
1979-05-31,22563000,28958.6777,1197.55005,14600,10800,21421.4876,89,66,0,0,0
1979-06-01,22552000,34909.0909,1197.46997,17600,8860,17573.5537,95,59,0,0,0
1979-06-02,22554000,18485.9504,1197.48999,9320,7960,15788.4298,97,64,0,0,0
1979-06-03,22566000,10909.0909,1197.56995,5500,6070,12039.6694,99,64,0,0,0
1979-06-04,22552000,33322.3141,1197.46997,16800,8430,16720.6612,104,66,0,0,0
1979-06-05,22531000,34710.7438,1197.32996,17500,7680,15233.0579,107,72,0,0,0
1979-06-06,22507000,35900.8265,1197.16003,18100,10200,20231.405,108,75,0,0,0
1979-06-07,22496000,28760.3306,1197.07996,14500,10600,21024.7934,97,70,0,0,0
1979-06-08,22476000,36099.1736,1196.93994,18200,10200,20231.405,86,63,0,0,0
1979-06-09,22480000,15272.7273,1196.96997,7700,6970,13824.7934,91,60,0,0,0
1979-06-10,22480000,21024.7934,1196.96997,10600,7720,15312.3967,98,63,0,0,0
1979-06-11,22456000,31735.5372,1196.80005,16000,11700,23206.6116,107,66,0,0,0
1979-06-12,22447000,32528.9256,1196.73999,16400,14400,28561.9835,111,72,0,0,0
1979-06-13,22431000,32925.6198,1196.63,16600,16100,31933.8843,108,78,0,0,0
1979-06-14,22427000,32330.5785,1196.59998,16300,14300,28363.6364,105,83,0,0,0
1979-06-15,22423000,33917.3554,1196.56995,17100,13200,26181.8182,100,75,0,0,0
1979-06-16,22430000,13547.1074,1196.62,6830,10400,20628.0992,97,66,0,0,0
1979-06-17,22446000,9262.80992,1196.72998,4670,8000,15867.7686,85,66,0,0,0
1979-06-18,22430000,32925.6198,1196.62,16600,8970,17791.7355,82,56,0,0,0
1979-06-19,22417000,32528.9256,1196.53003,16400,6940,13765.2893,89,58,0,0,0
1979-06-20,22398000,35504.1322,1196.40002,17900,7690,15252.8926,100,61,0,0,0
1979-06-21,22377000,34710.7438,1196.25,17500,10100,20033.0579,101,69,0,0,0
1979-06-22,22351000,39669.4215,1196.06995,20000,10500,20826.4463,105,70,0,0,0
1979-06-23,22346000,23603.3058,1196.03003,11900,8370,16601.6529,108,68,0,0,0
1979-06-24,22353000,14717.3554,1196.07996,7420,8820,17494.2149,107,69,0,0,0
1979-06-25,22333000,33520.6612,1195.93994,16900,11100,22016.5289,109,72,0,0,0
1979-06-26,22320000,29950.4132,1195.84998,15100,12300,24396.6942,111,77,0,0,0
1979-06-27,22307000,34512.3967,1195.76001,17400,11400,22611.5703,112,77,0,0,0
1979-06-28,22294000,35305.7851,1195.67004,17800,11100,22016.5289,112,78,0,0,0
1979-06-29,22280000,41256.1984,1195.56995,20800,14000,27768.595,112,82,0,0,0
1979-06-30,22270000,21421.4876,1195.5,10800,15600,30942.1488,108,81,0,0,0
1979-07-01,22283000,11623.1405,1195.58997,5860,12000,23801.6529,102,76,0,0,0
1979-07-02,22283000,26578.5124,1195.58997,13400,14100,27966.9422,99,74,0,0,0
1979-07-03,22272000,34710.7438,1195.51001,17500,9720,19279.3388,99,66,0,0,0
1979-07-04,22286000,8231.40496,1195.60999,4150,6390,12674.3802,101,67,0,0,0
1979-07-05,22275000,30743.8017,1195.53003,15500,9460,18763.6364,99,71,0,0,0
1979-07-06,22256000,27966.9422,1195.40002,14100,11100,22016.5289,103,64,0,0,0
1979-07-07,22253000,15510.7438,1195.38,7820,8530,16919.0083,106,66,0,0,0
1979-07-08,22253000,22016.5289,1195.38,11100,8960,17771.9008,107,79,0,0,0
1979-07-09,22236000,31140.4959,1195.26001,15700,12500,24793.3884,112,75,0,0,0
1979-07-10,22219000,27173.5537,1195.14001,13700,13900,27570.2479,110,83,0,0,0
1979-07-11,22218000,29752.0661,1195.13,15000,14300,28363.6364,111,76,0,0,0
1979-07-12,22212000,29355.3719,1195.08997,14800,14000,27768.595,114,78,0,0,0
1979-07-13,22208000,27768.595,1195.06006,14000,14100,27966.9422,113,78,0,0,0
1979-07-14,22211000,21024.7934,1195.07996,10600,13500,26776.8595,111,80,0,0,0
1979-07-15,22220000,18049.5868,1195.15002,9100,12100,24000,112,72,0,0,0
1979-07-16,22219000,24991.7355,1195.14001,12600,14600,28958.6777,114,75,0,0,0
1979-07-17,22215000,29157.0248,1195.10999,14700,12600,24991.7355,108,80,0,0,0
1979-07-18,22199000,33520.6612,1195,16900,12000,23801.6529,115,82,0,0,0
1979-07-19,22199000,28561.9835,1195,14400,12800,25388.4298,108,74,0.04,0,0
1979-07-20,22192000,33520.6612,1194.94995,16900,12200,24198.3471,81,68,0.71,0,0
1979-07-21,22201000,16423.1405,1195.01001,8280,17000,33719.0083,96,70,0.03,0,0
1979-07-22,22202000,21421.4876,1195.02002,10800,16800,33322.3141,101,75,0,0,0
1979-07-23,22196000,37487.6033,1194.97998,18900,16200,32132.2314,105,75,0,0,0
1979-07-24,22189000,39471.0744,1194.93005,19900,16900,33520.6612,110,77,0,0,0
1979-07-25,22181000,37289.2562,1194.87,18800,17800,35305.7851,113,79,0,0,0
1979-07-26,22176000,32528.9256,1194.83997,16400,19100,37884.2975,110,84,0,0,0
1979-07-27,22172000,39272.7273,1194.81006,19800,19100,37884.2975,109,81,0,0,0
1979-07-28,22175000,29157.0248,1194.82996,14700,19200,38082.6446,110,78,0,0,0
1979-07-29,22184000,26578.5124,1194.89001,13400,16800,33322.3141,109,79,0,0,0
1979-07-30,22185000,30942.1488,1194.90002,15600,17600,34909.0909,110,74,0,0,0
1979-07-31,22179000,35702.4793,1194.85999,18000,18000,35702.4793,112,78,0,0,0
1979-08-01,22184000,29752.0661,1194.89001,15000,17300,34314.0496,116,78,0,0,0
1979-08-02,22181000,36495.8678,1194.87,18400,20600,40859.5041,115,79,0,0,0
1979-08-03,22178000,32925.6198,1194.84998,16600,20700,41057.8512,116,77,0,0,0
1979-08-04,22192000,20826.4463,1194.94995,10500,21200,42049.5868,114,78,0,0,0
1979-08-05,22206000,25586.7769,1195.05005,12900,20400,40462.8099,107,84,0,0,0
1979-08-06,22209000,37487.6033,1195.06995,18900,22800,45223.1405,100,79,0.01,0,0
1979-08-07,22205000,38677.686,1195.04004,19500,23600,46809.9174,104,74,0,0,0
1979-08-08,22213000,34314.0496,1195.09998,17300,21900,43438.0165,106,77,0,0,0
1979-08-09,22216000,38479.3388,1195.12,19400,20900,41454.5455,108,76,0,0,0
1979-08-10,22225000,32925.6198,1195.18005,16600,19600,38876.0331,110,76,0,0,0
1979-08-11,22245000,14796.6942,1195.31995,7460,15000,29752.0661,104,79,0,0,0
1979-08-12,22273000,11702.4793,1195.52002,5900,14600,28958.6777,82,68,1.56,0,0
1979-08-13,22277000,23801.6529,1195.55005,12000,10400,20628.0992,85,68,0.22,0,0
1979-08-14,22286000,25388.4298,1195.60999,12800,10100,20033.0579,92,67,0,0,0
1979-08-15,22287000,20826.4463,1195.62,10500,9020,17890.9091,96,67,0,0,0
1979-08-16,22279000,29950.4132,1195.56006,15100,16100,31933.8843,86,67,0.02,0,0
1979-08-17,22266000,26181.8182,1195.46997,13200,19800,39272.7273,89,69,0,0,0
1979-08-18,22279000,17077.686,1195.56006,8610,17200,34115.7025,83,66,0.31,0,0
1979-08-19,22303000,13110.7438,1195.72998,6610,14600,28958.6777,91,68,0,0,0
1979-08-20,22309000,28561.9835,1195.77002,14400,20100,39867.7686,93,64,0,0,0
1979-08-21,22304000,28561.9835,1195.73999,14400,13700,27173.5537,95,67,0,0,0
1979-08-22,22314000,31140.4959,1195.81006,15700,13600,26975.2066,100,66,0,0,0
1979-08-23,22309000,33520.6612,1195.77002,16900,12300,24396.6942,101,68,0,0,0
1979-08-24,22296000,38876.0331,1195.68005,19600,14000,27768.595,100,74,0,0,0
1979-08-25,22292000,25388.4298,1195.65002,12800,15100,29950.4132,103,69,0,0,0
1979-08-26,22293000,22214.876,1195.66003,11200,18900,37487.6033,105,70,0,0,0
1979-08-27,22297000,25586.7769,1195.68994,12900,21500,42644.6281,106,71,0,0,0
1979-08-28,22304000,26578.5124,1195.73999,13400,20200,40066.1157,101,73,0,0,0
1979-08-29,22310000,30545.4546,1195.78003,15400,16400,32528.9256,98,73,0,0,0
1979-08-30,22306000,38082.6446,1195.75,19200,17500,34710.7438,95,71,0,0,0
1979-08-31,22300000,36495.8678,1195.70996,18400,17200,34115.7025,97,65,0,0,0
1979-09-01,22317000,11880.9917,1195.82996,5990,14200,28165.2893,99,65,0,0,0
1979-09-02,22338000,10076.0331,1195.97998,5080,9460,18763.6364,100,65,0,0,0
1979-09-03,22343000,19219.8347,1196.01001,9690,12000,23801.6529,102,67,0,0,0
1979-09-04,22331000,29950.4132,1195.93005,15100,15400,30545.4546,103,70,0,0,0
1979-09-05,22327000,27173.5537,1195.90002,13700,16100,31933.8843,105,67,0,0,0
1979-09-06,22327000,28165.2893,1195.90002,14200,15800,31338.843,107,65,0,0,0
1979-09-07,22327000,30942.1488,1195.90002,15600,14300,28363.6364,107,69,0,0,0
1979-09-08,22317000,40462.8099,1195.82996,20400,14300,28363.6364,110,76,0,0,0
1979-09-09,22303000,40264.4628,1195.72998,20300,16300,32330.5785,106,77,0,0,0
1979-09-10,22299000,29553.719,1195.69995,14900,16500,32727.2727,106,71,0,0,0
1979-09-11,22303000,27371.9008,1195.72998,13800,11700,23206.6116,106,75,0,0,0
1979-09-12,22306000,29950.4132,1195.75,15100,10700,21223.1405,106,73,0,0,0
1979-09-13,22293000,33123.9669,1195.66003,16700,9790,19418.1818,105,73,0,0,0
1979-09-14,22272000,35900.8265,1195.51001,18100,7870,15609.9174,98,75,0,0,0
1979-09-15,22265000,23801.6529,1195.45996,12000,6750,13388.4298,95,69,0,0,0
1979-09-16,22260000,16839.6694,1195.43005,8490,6340,12575.2066,96,68,0,0,0
1979-09-17,22240000,31735.5372,1195.29004,16000,8690,17236.3636,102,68,0,0,0
1979-09-18,22223000,28760.3306,1195.17004,14500,9890,19616.5289,100,67,0,0,0
1979-09-19,22211000,27768.595,1195.07996,14000,9590,19021.4876,103,69,0,0,0
1979-09-20,22206000,20826.4463,1195.05005,10500,10600,21024.7934,100,72,0,0,0
1979-09-21,22208000,16720.6612,1195.06006,8430,9700,19239.6694,100,66,0,0,0
1979-09-22,22211000,12337.1901,1195.07996,6220,12000,23801.6529,99,67,0,0,0
1979-09-23,22208000,17890.9091,1195.06006,9020,9150,18148.7603,97,72,0,0,0
1979-09-24,22213000,16085.9504,1195.09998,8110,12800,25388.4298,100,70,0,0,0
1979-09-25,22211000,18029.7521,1195.07996,9090,12700,25190.0826,99,72,0,0,0
1979-09-26,22215000,19596.6942,1195.10999,9880,12900,25586.7769,97,70,0,0,0
1979-09-27,22225000,13804.9587,1195.18005,6960,11100,22016.5289,95,67,0,0,0
1979-09-28,22230000,20628.0992,1195.21997,10400,9290,18426.4463,95,65,0,0,0
1979-09-29,22239000,11504.1322,1195.28003,5800,11300,22413.2231,97,69,0,0,0
1979-09-30,22242000,12575.2066,1195.30005,6340,8820,17494.2149,92,70,0,0,0
1979-10-01,22245000,17375.2066,1195.31995,8760,9500,18842.9752,97,65,0,0,0
1979-10-02,22238000,24396.6942,1195.27002,12300,12800,25388.4298,98,64,0,0,0
1979-10-03,22230000,23404.9587,1195.21997,11800,11300,22413.2231,98,66,0,0,0
1979-10-04,22233000,17930.5785,1195.23999,9040,9470,18783.4711,96,69,0,0,0
1979-10-05,22242000,14082.6446,1195.30005,7100,11100,22016.5289,96,68,0,0,0
1979-10-06,22250000,5573.55372,1195.35999,2810,8450,16760.3306,96,64,0,0,0
1979-10-07,22262000,7239.66942,1195.43994,3650,5060,10036.3636,97,62,0,0,0
1979-10-08,22252000,23008.2645,1195.37,11600,11500,22809.9174,92,65,0,0,0
1979-10-09,22245000,20628.0992,1195.31995,10400,12700,25190.0826,89,60,0,0,0
1979-10-10,22245000,15728.9256,1195.31995,7930,14100,27966.9422,91,60,0,0,0
1979-10-11,22246000,17890.9091,1195.32996,9020,15600,30942.1488,87,63,0,0,0
1979-10-12,22255000,19160.3306,1195.39001,9660,13700,27173.5537,88,59,0,0,0
1979-10-13,22271000,8509.09091,1195.51001,4290,9170,18188.4298,87,60,0,0,0
1979-10-14,22289000,6664.46281,1195.63,3360,3910,7755.3719,84,59,0,0,0
1979-10-15,22299000,8985.12397,1195.69995,4530,5980,11861.157,84,55,0,0,0
1979-10-16,22292000,19001.6529,1195.65002,9580,5720,11345.4546,84,58,0,0,0
1979-10-17,22279000,16859.5041,1195.56006,8500,7040,13963.6364,87,59,0,0,0
1979-10-18,22266000,19061.157,1195.46997,9610,7910,15689.2562,85,58,0,0,0
1979-10-19,22250000,18366.9422,1195.35999,9260,7300,14479.3388,81,64,0,0,0
1979-10-20,22259000,8033.05785,1195.42004,4050,2980,5910.7438,75,56,0,0,0
1979-10-21,22266000,7259.50413,1195.46997,3660,4310,8548.76033,70,49,0,0,0
1979-10-22,22253000,22809.9174,1195.38,11500,10500,20826.4463,73,47,0,0,0
1979-10-23,22223000,30743.8017,1195.17004,15500,15200,30148.7603,76,48,0,0,0
1979-10-24,22218000,26380.1653,1195.13,13300,14100,27966.9422,80,49,0,0,0
1979-10-25,22212000,28958.6777,1195.08997,14600,9380,18604.9587,88,52,0,0,0
1979-10-26,22218000,21024.7934,1195.13,10600,9700,19239.6694,82,58,0,0,0
1979-10-27,22225000,8588.42975,1195.18005,4330,6230,12357.0248,78,52,0,0,0
1979-10-28,22233000,7953.71901,1195.23999,4010,7580,15034.7107,79,48,0,0,0
1979-10-29,22218000,22809.9174,1195.13,11500,16100,31933.8843,65,53,0,0,0
1979-10-30,22215000,15728.9256,1195.10999,7930,18400,36495.8678,63,43,0,0,0
1979-10-31,22216000,26181.8182,1195.12,13200,14700,29157.0248,67,38,0,0,0
1979-11-01,22228000,21818.1818,1195.19995,11000,17600,34909.0909,65,40,0,0,0
1979-11-02,22230000,24991.7355,1195.21997,12600,18000,35702.4793,65,44,0,0,0
1979-11-03,22247000,13467.7686,1195.33997,6790,14800,29355.3719,71,41,0,0,0
1979-11-04,22273000,8747.10744,1195.52002,4410,13000,25785.124,68,48,0,0,0
1979-11-05,22282000,19358.6777,1195.57996,9760,15500,30743.8017,68,40,0,0,0
1979-11-06,22283000,21619.8347,1195.58997,10900,17200,34115.7025,68,42,0,0,0
1979-11-07,22290000,22809.9174,1195.64001,11500,17800,35305.7851,66,46,0,0,0
1979-11-08,22306000,18446.281,1195.75,9300,14300,28363.6364,67,50,0,0,0
1979-11-09,22320000,21223.1405,1195.84998,10700,17600,34909.0909,70,44,0,0,0
1979-11-10,22336000,10214.876,1195.95996,5150,15200,30148.7603,66,42,0,0,0
1979-11-11,22360000,10948.7603,1196.13,5520,5900,11702.4793,67,39,0,0,0
1979-11-12,22367000,20429.7521,1196.18005,10300,12900,25586.7769,65,38,0,0,0
1979-11-13,22354000,26578.5124,1196.08997,13400,13800,27371.9008,68,37,0,0,0
1979-11-14,22351000,28165.2893,1196.06995,14200,14100,27966.9422,70,41,0,0,0
1979-11-15,22357000,18525.6198,1196.10999,9340,13400,26578.5124,71,41,0,0,0
1979-11-16,22366000,19299.1736,1196.17004,9730,11400,22611.5703,70,41,0,0,0
1979-11-17,22380000,9361.98347,1196.27002,4720,8400,16661.157,69,40,0,0,0
1979-11-18,22394000,8766.94215,1196.37,4420,6640,13170.2479,66,44,0,0,0
1979-11-19,22384000,24000,1196.30005,12100,11200,22214.876,55,41,0.03,0,0
1979-11-20,22371000,23603.3058,1196.20996,11900,18500,36694.2149,55,41,0,0,0
1979-11-21,22367000,28561.9835,1196.18005,14400,14700,29157.0248,54,34,0,0,0
1979-11-22,22393000,4581.81818,1196.35999,2310,9550,18942.1488,53,27,0,0,0
1979-11-23,22410000,7993.38843,1196.47998,4030,7910,15689.2562,61,38,0,0,0
1979-11-24,22427000,7438.01653,1196.59998,3750,14200,28165.2893,62,35,0,0,0
1979-11-25,22431000,7775.20661,1196.63,3920,12700,25190.0826,60,38,0,0,0
1979-11-26,22444000,18763.6364,1196.71997,9460,13200,26181.8182,66,41,0,0,0
1979-11-27,22441000,25586.7769,1196.69995,12900,11200,22214.876,56,39,0,0,0
1979-11-28,22438000,23603.3058,1196.68005,11900,12600,24991.7355,56,33,0,0,0
1979-11-29,22437000,20826.4463,1196.67004,10500,14500,28760.3306,55,30,0,0,0
1979-11-30,22433000,25388.4298,1196.64001,12800,16500,32727.2727,58,30,0,0,0
1979-12-01,22446000,15649.5868,1196.72998,7890,15200,30148.7603,61,34,0,0,0
1979-12-02,22461000,14400,1196.83997,7260,15500,30743.8017,56,34,0,0,0
1979-12-03,22471000,21223.1405,1196.91003,10700,14300,28363.6364,62,33,0,0,0
1979-12-04,22477000,21818.1818,1196.94995,11000,13600,26975.2066,68,36,0,0,0
1979-12-05,22491000,13487.6033,1197.05005,6800,9520,18882.6446,74,42,0,0,0
1979-12-06,22493000,25785.124,1197.06006,13000,12100,24000,69,42,0,0,0
1979-12-07,22494000,17871.0744,1197.06995,9010,12800,25388.4298,68,42,0,0,0
1979-12-08,22509000,9976.8595,1197.17004,5030,9770,19378.5124,67,40,0,0,0
1979-12-09,22524000,9401.65289,1197.28003,4740,7600,15074.3802,68,40,0,0,0
1979-12-10,22517000,28363.6364,1197.22998,14300,17200,34115.7025,62,39,0,0,0
1979-12-11,22513000,16185.124,1197.19995,8160,18300,36297.5207,55,39,0,0,0
1979-12-12,22526000,19001.6529,1197.29004,9580,16200,32132.2314,51,29,0,0,0
1979-12-13,22543000,18942.1488,1197.41003,9550,16000,31735.5372,59,28,0,0,0
1979-12-14,22550000,22016.5289,1197.45996,11100,14300,28363.6364,59,29,0,0,0
1979-12-15,22564000,17335.5372,1197.56006,8740,7600,15074.3802,61,29,0,0,0
1979-12-16,22577000,13804.9587,1197.65002,6960,6380,12654.5455,64,32,0,0,0
1979-12-17,22582000,11603.3058,1197.68005,5850,8220,16304.1322,67,33,0,0,0
1979-12-18,22582000,14895.8678,1197.68005,7510,10300,20429.7521,64,35,0,0,0
1979-12-19,22576000,20429.7521,1197.64001,10300,9920,19676.0331,60,35,0,0,0
1979-12-20,22582000,14578.5124,1197.68005,7350,10100,20033.0579,61,36,0,0,0
1979-12-21,22587000,14757.0248,1197.71997,7440,10000,19834.7107,58,42,0,0,0
1979-12-22,22593000,16105.7851,1197.76001,8120,5120,10155.3719,55,34,0,0,0
1979-12-23,22599000,13110.7438,1197.80005,6610,6560,13011.5703,50,27,0,0,0
1979-12-24,22605000,7596.69421,1197.83997,3830,8960,17771.9008,51,35,0,0,0
1979-12-25,22613000,6208.26446,1197.90002,3130,2020,4006.61157,59,36,0,0,0
1979-12-26,22604000,32925.6198,1197.82996,16600,10400,20628.0992,51,41,0.24,0,0
1979-12-27,22592000,21421.4876,1197.75,10800,11400,22611.5703,56,34,0,0,0
1979-12-28,22587000,15748.7603,1197.71997,7940,12500,24793.3884,53,29,0,0,0
1979-12-29,22604000,8370.24793,1197.82996,4220,4790,9500.82645,52,32,0,0,0
1979-12-30,22619000,9937.19008,1197.93994,5010,2530,5018.18182,50,30,0,0,0
1979-12-31,22623000,12297.5207,1197.96997,6200,2130,4224.79339,53,34,0,0,0
1980-01-01,22629000,8013.22314,1198.01001,4040,2650,5256.19835,57,33,0,0,0
1980-01-02,22609000,25388.4298,1197.87,12800,8560,16978.5124,60,33,0,0,0
1980-01-03,22592000,22016.5289,1197.75,11100,9480,18803.3058,54,33,0,0,0
1980-01-04,22576000,20231.405,1197.64001,10200,10200,20231.405,55,28,0,0,0
1980-01-05,22583000,13963.6364,1197.68994,7040,10700,21223.1405,56,31,0,0,0
1980-01-06,22593000,9441.32231,1197.76001,4760,6670,13229.7521,53,41,0,0,0
1980-01-07,22595000,17990.0826,1197.77002,9070,12900,25586.7769,58,42,0,0,0
1980-01-08,22587000,26181.8182,1197.71997,13200,14400,28561.9835,58,37,0,0,0
1980-01-09,22593000,21223.1405,1197.76001,10700,16500,32727.2727,55,45,0.3,0,0
1980-01-10,22602000,19418.1818,1197.81995,9790,7910,15689.2562,60,53,0,0,0
1980-01-11,22620000,22611.5703,1197.94995,11400,10500,20826.4463,58,48,0.11,0,0
1980-01-12,22628000,9183.47107,1198,4630,3680,7299.17355,71,51,0,0,0
1980-01-13,22646000,5018.18182,1198.13,2530,1130,2241.32231,65,48,0,0,0
1980-01-14,22651000,11345.4546,1198.16003,5720,2150,4264.46281,68,50,0,0,0
1980-01-15,22652000,8965.28926,1198.17004,4520,5190,10294.2149,61,42,0,0,0
1980-01-16,22649000,9262.80992,1198.15002,4670,6800,13487.6033,60,40,0,0,0
1980-01-17,22639000,17593.3884,1198.07996,8870,8130,16125.6198,57,44,0,0,0
1980-01-18,22626000,28561.9835,1197.98999,14400,12300,24396.6942,58,40,0.38,0,0
1980-01-19,22635000,12436.3636,1198.05005,6270,14000,27768.595,49,39,0.25,0,0
1980-01-20,22653000,10928.9256,1198.18005,5510,10600,21024.7934,55,38,0,0,0
1980-01-21,22661000,21223.1405,1198.22998,10700,14800,29355.3719,56,34,0,0,0
1980-01-22,22666000,12099.1736,1198.27002,6100,10200,20231.405,56,37,0,0,0
1980-01-23,22689000,10591.7355,1198.43005,5340,10300,20429.7521,58,32,0,0,0
1980-01-24,22702000,8866.1157,1198.52002,4470,8140,16145.4546,60,34,0,0,0
1980-01-25,22711000,13804.9587,1198.57996,6960,5810,11523.9669,61,36,0,0,0
1980-01-26,22720000,8013.22314,1198.64001,4040,8880,17613.2231,66,36,0,0,0
1980-01-27,22725000,7319.00826,1198.68005,3690,7090,14062.8099,62,43,0,0,0
1980-01-28,22720000,24793.3884,1198.64001,12500,14000,27768.595,60,48,0.05,0,0
1980-01-29,22725000,15947.1074,1198.68005,8040,17100,33917.3554,62,47,0.36,0,0
1980-01-30,22746000,15709.0909,1198.81995,7920,18800,37289.2562,57,42,0,0,0
1980-01-31,22770000,13348.7603,1198.98999,6730,15000,29752.0661,59,36,0,0,0
1980-02-01,22789000,19755.3719,1199.12,9960,13100,25983.4711,63,40,0,0,0
1980-02-02,22812000,12019.8347,1199.28003,6060,10400,20628.0992,63,40,0,0,0
1980-02-03,22825000,10909.0909,1199.37,5500,6610,13110.7438,62,44,0,0,0
1980-02-04,22841000,16899.1736,1199.47998,8520,8950,17752.0661,67,41,0,0,0
1980-02-05,22832000,23603.3058,1199.42004,11900,12300,24396.6942,65,42,0,0,0
1980-02-06,22834000,15114.0496,1199.43005,7620,12100,24000,72,45,0,0,0
1980-02-07,22841000,13229.7521,1199.47998,6670,8450,16760.3306,58,49,0,0,0
1980-02-08,22852000,15114.0496,1199.56006,7620,11300,22413.2231,59,45,0,0,0
1980-02-09,22861000,8013.22314,1199.62,4040,14200,28165.2893,56,32,0,0,0
1980-02-10,22880000,4879.33884,1199.75,2460,13400,26578.5124,58,30,0,0,0
1980-02-11,22903000,8608.26446,1199.91003,4340,12700,25190.0826,60,31,0,0,0
1980-02-12,22916000,13467.7686,1200,6790,10100,20033.0579,62,33,0,0,0
1980-02-13,22928000,17077.686,1200.07996,8610,11300,22413.2231,54,38,0.32,0,0
1980-02-14,22952000,15352.0661,1200.25,7740,12300,24396.6942,61,43,0.74,0,0
1980-02-15,22973000,17593.3884,1200.39001,8870,12700,25190.0826,62,49,0,0,0
1980-02-16,23009000,10333.8843,1200.64001,5210,10600,21024.7934,52,45,0.95,0,0
1980-02-17,23041000,2221.4876,1200.85999,1120,7780,15431.405,66,49,0,0,0
1980-02-18,23061000,6228.09917,1201,3140,12200,24198.3471,69,56,0.03,0,0
1980-02-19,23092000,7180.16529,1201.20996,3620,8780,17414.876,62,50,0.21,0,0
1980-02-20,23153000,8171.90083,1201.63,4120,10800,21421.4876,62,50,0,0,0
1980-02-21,23206000,2280.99174,1201.98999,1150,13200,26181.8182,66,50,0,0,0
1980-02-22,23258000,6029.75207,1202.34998,3040,13300,26380.1653,63,42,0,0,0
1980-02-23,23308000,2062.80992,1202.68994,1040,11000,21818.1818,64,41,0,0,0
1980-02-24,23362000,1507.43802,1203.06006,760,9050,17950.4132,64,42,0,0,0
1980-02-25,23410000,2023.1405,1203.38,1020,11200,22214.876,68,42,0,0,0
1980-02-26,23441000,2955.3719,1203.58997,1490,8510,16879.3388,71,42,0,0,0
1980-02-27,23476000,2241.32231,1203.82996,1130,9370,18585.124,72,43,0,0,0
1980-02-28,23496000,1646.28099,1203.96997,830,7320,14519.0083,71,47,0,0,0
1980-02-29,23520000,1249.58678,1204.13,630,7170,14221.4876,67,44,0,0,0
1980-03-01,23538000,1309.09091,1204.25,660,7650,15173.5537,63,44,0,0,0
1980-03-02,23557000,1447.93388,1204.38,730,4460,8846.28099,68,46,0,0,0
1980-03-03,23566000,12396.6942,1204.43994,6250,6810,13507.438,61,47,0.15,0,0
1980-03-04,23569000,14737.1901,1204.45996,7430,9520,18882.6446,62,41,0,0,0
1980-03-05,23563000,22413.2231,1204.42004,11300,9810,19457.8512,67,45,0,0,0
1980-03-06,23564000,23206.6116,1204.43005,11700,7240,14360.3306,61,45,0.24,0,0
1980-03-07,23563000,31735.5372,1204.42004,16000,6020,11940.4959,57,42,0,0,0
1980-03-08,23573000,9798.34711,1204.48999,4940,7660,15193.3884,60,39,0,0,0
1980-03-09,23579000,10254.5455,1204.53003,5170,3680,7299.17355,64,39,0,0,0
1980-03-10,23563000,37487.6033,1204.42004,18900,11000,21818.1818,65,40,0.17,0,0
1980-03-11,23550000,37685.9504,1204.32996,19000,12600,24991.7355,66,46,0.06,0,0
1980-03-12,23535000,38677.686,1204.22998,19500,8900,17652.8926,60,46,0,0,0
1980-03-13,23517000,48793.3884,1204.10999,24600,8050,15966.9422,66,40,0,0,0
1980-03-14,23498000,39471.0744,1203.97998,19900,8610,17077.686,71,42,0,0,0
1980-03-15,23493000,24793.3884,1203.94995,12500,9540,18922.3141,73,56,0,0,0
1980-03-16,23490000,19537.1901,1203.93005,9850,9490,18823.1405,60,45,0,0,0
1980-03-17,23476000,38876.0331,1203.82996,19600,12700,25190.0826,59,37,0,0,0
1980-03-18,23455000,41454.5455,1203.68994,20900,11500,22809.9174,63,38,0,0,0
1980-03-19,23439000,42247.9339,1203.57996,21300,14700,29157.0248,69,51,0,0,0
1980-03-20,23418000,43834.7107,1203.43994,22100,14300,28363.6364,74,44,0,0,0
1980-03-21,23421000,37884.2975,1203.45996,19100,12700,25190.0826,62,48,0,0,0
1980-03-22,23423000,24991.7355,1203.46997,12600,8660,17176.8595,63,48,0,0,0
1980-03-23,23432000,23603.3058,1203.53003,11900,9380,18604.9587,68,46,0,0,0
1980-03-24,23407000,46809.9174,1203.35999,23600,13600,26975.2066,63,43,0.32,0,0
1980-03-25,23392000,42446.281,1203.26001,21400,16200,32132.2314,60,42,0,0,0
1980-03-26,23379000,44826.4463,1203.17004,22600,15700,31140.4959,62,41,0,0,0
1980-03-27,23360000,51173.5537,1203.04004,25800,11400,22611.5703,70,40,0,0,0
1980-03-28,23349000,44429.7521,1202.96997,22400,7550,14975.2066,67,46,0,0,0
1980-03-29,23357000,19200,1203.02002,9680,6130,12158.6777,67,39,0,0,0
1980-03-30,23362000,13190.0826,1203.06006,6650,5310,10532.2314,73,44,0,0,0
